Application,Autopkg Recipe,Notes,Recipe Type
Google Chrome,https://github.com/autopkg/recipes/blob/master/GoogleChrome/GoogleChromePkg.munki.recipe,,Munki
Claude,https://github.com/autopkg/dataJAR-recipes/blob/master/Claude/Claude.munki.recipe,,
Diffchecker,,,
Discord,https://github.com/autopkg/joshua-d-miller-recipes/blob/master/Discord/Discord.munki.recipe,,
Github Desktop,https://github.com/autopkg/homebysix-recipes/blob/master/GitHub/GitHubDesktop.munki.recipe,,
iMazing Profile Editor,https://github.com/autopkg/homebysix-recipes/blob/master/iMazing/iMazing.munki.recipe,,
Jamf Compliance Editor,https://github.com/autopkg/jc0b-recipes/blob/master/Jamf/JamfComplianceEditor.munki.recipe.yaml,,
Logi Options+,https://github.com/autopkg/wegotoeleven-recipes/blob/master/Logitech/LogiOptionsPlus.download.recipe.yaml,,
Loopback,https://github.com/autopkg/blackthroat-recipes/blob/master/Rogue%20Amoeba%20Software,%20Inc./Loopback.munki.recipe,Licensed,
Magnet,,,
Managed Software Center,,,
Microsoft Excel,https://github.com/autopkg/rtrouton-recipes/blob/master/MicrosoftExcel365/MicrosoftExcel365.munki.recipe,,
Microsoft PowerPoint,https://github.com/autopkg/rtrouton-recipes/blob/master/MicrosoftPowerPoint365/MicrosoftPowerpoint365.munki.recipe,,
Microsoft Word,https://github.com/autopkg/rtrouton-recipes/blob/master/MicrosoftWord365/MicrosoftWord365.munki.recipe,,
NordVPN,https://github.com/autopkg/dataJAR-recipes/blob/master/NordVPN/NordVPN.munki.recipe,,
Notion,https://github.com/autopkg/swy-recipes/blob/master/Notion%20Labs,%20Inc./Notion.munki.recipe,,
OBS,https://github.com/autopkg/joshua-d-miller-recipes/blob/master/OBS/OBS.munki.recipe,,
Okta Verify,https://github.com/autopkg/nstrauss-recipes/blob/master/Okta%20Verify/OktaVerify.munki.recipe,,
OneDrive,https://github.com/autopkg/rtrouton-recipes/blob/master/MicrosoftOneDrive/MicrosoftOneDrive.munki.recipe,,
Python,,,
Recipe Robot,https://github.com/autopkg/homebysix-recipes/blob/master/Elliot%20Jordan/Recipe%20Robot.munki.recipe,,
Slack,https://github.com/autopkg/kevinmcox-recipes,,
Spotify,https://github.com/autopkg/recipes/blob/master/Spotify/Spotify.munki.recipe,,
Suspicious Package,https://github.com/autopkg/gregneagle-recipes/blob/master/SuspiciousPackageXip/SuspiciousPackageXip.munki.recipe,,
Apparency,https://github.com/autopkg/kevinmcox-recipes/blob/master/Mothers%20Ruin%20Software/Apparency.munki.recipe,,
Archaeology,https://github.com/autopkg/kevinmcox-recipes/blob/master/Mothers%20Ruin%20Software/Archaeology.munki.recipe,,
OpenClaw,,,
Telegram,https://autopkgweb.com/?search=telegram#:~:text=Telegram.munki.recipe,,
VS Code,https://github.com/autopkg/dataJAR-recipes/blob/master/Visual%20Studio/Visual%20Studio.munki.recipe,,
Whatsapp,https://github.com/autopkg/scriptingosx-recipes/blob/master/WhatsAppInc/WhatsApp.munki.recipe,,
Zoom,https://github.com/autopkg/homebysix-recipes/blob/master/Zoom/Zoom.munki.recipe,,
fleetd,https://github.com/autopkg/kevinmcox-recipes/blob/master/Fleet/fleetd.munki.recipe.yaml,,
fleetctl,https://github.com/autopkg/jc0b-recipes/blob/master/Fleet/fleetctl.munki.recipe.yaml,,
munki,https://github.com/autopkg/recipes/blob/master/munkitools/munkitools.munki.recipe,,
salt,https://github.com/autopkg/mosen-recipes/blob/master/SaltStack/salt.munki.recipe,,
GoogleDrive,https://github.com/autopkg/apizz-recipes/blob/master/Google_Drive/GoogleDrive.munki.recipe,,